Team,Conf,NET,Q_SCORE,Q1_W,Q1_L,Q2_W,Q2_L,Q3_W,Q3_L,Q4_W,Q4_L
Toledo,mac,79,0.709677419,0,1,3,1,7,3,15,1
Towson,colonial,131,-0.121212121,0,3,1,2,5,3,15,4
Troy,sun-belt,136,-0.266666667,0,2,0,5,6,5,11,1
Tulane,aac,102,0.379310345,1,3,4,1,5,5,9,1
Tulsa,aac,323,-1.9,0,4,0,8,1,9,4,4
TXAM-Commerce,southland,305,-1.65625,0,1,1,0,3,7,8,12
UAB,cusa,57,0.677419355,1,3,1,3,9,1,12,1
UC San Diego,big-west,277,-1.607142857,0,2,1,3,2,11,5,4
UC-Davis,big-west,147,-0.566666667,0,1,0,6,2,6,14,1
UCF,aac,71,0.193548387,1,4,4,4,4,5,9,0
UC-Irvine,big-west,93,0.290322581,1,1,2,3,7,5,11,1
UCLA,pac-12,4,2.125,7,4,9,0,5,0,7,0
UC-Riverside,big-west,135,0.21875,0,3,3,2,7,4,11,2
UC-Santa Barbara,big-west,103,0.533333333,0,0,3,2,7,4,13,1
UMass-Lowell,america-east,115,0.193548387,0,1,0,1,5,0,19,5
UMBC,america-east,240,-0.774193548,0,1,0,4,1,3,16,6
UMES,meac,219,-0.576923077,0,3,1,1,1,5,12,3
UMKC,summit,308,-1.533333333,0,4,2,1,1,5,7,10
UNLV,mwc,91,0.483870968,2,7,4,1,7,5,5,0
USC,pac-12,49,1.0625,3,6,7,2,6,1,6,1
Utah,pac-12,80,0.3125,2,9,3,5,3,1,9,0
Utah State,mwc,18,1.419354839,1,4,9,1,13,0,1,2
Utah Tech,wac,155,-1.033333333,0,4,0,5,5,7,6,3
Utah Valley,wac,69,0.827586207,1,2,3,2,9,2,9,1
UTEP,cusa,193,-0.866666667,0,5,1,4,2,7,9,2
UTRGV,wac,260,-1.107142857,0,3,1,3,1,8,9,3
UTSA,cusa,288,-1.566666667,0,5,0,5,4,4,4,8
Valparaiso,mvc,289,-1.483870968,0,2,1,6,0,8,9,5
Vanderbilt,sec,82,0.78125,4,9,5,1,5,2,5,1
VCU,atlantic-10,63,0.84375,1,1,2,4,12,0,10,2
Vermont,america-east,111,0.161290323,0,3,1,3,4,3,16,1
Villanova,big-east,74,0.363636364,2,11,3,3,6,2,6,0
Virginia,acc,29,1.5,5,4,5,1,5,1,9,0
Virginia Tech,acc,76,0.424242424,3,6,4,5,4,2,8,1
VMI,southern,355,-2.689655172,0,0,0,3,0,12,4,10
Wagner,northeast,310,-1.230769231,0,0,1,2,0,1,12,10
Wake Forest,acc,90,0.363636364,1,9,4,2,5,2,9,1
Washington,pac-12,123,0.15625,2,8,3,6,4,1,7,1
Washington State,pac-12,73,0.303030303,1,11,5,3,4,1,7,1
Weber State,big-sky,187,-0.612903226,1,0,0,5,4,8,11,2
West Virginia,big-12,24,1.060606061,6,13,6,1,1,0,6,0
Western Carolina,southern,230,-0.866666667,0,1,0,3,3,7,12,4
Western Illinois,summit,245,-1.037037037,0,2,0,1,1,6,12,5
Western Kentucky,cusa,178,-0.483870968,1,4,0,4,5,6,9,2
Western Michigan,mac,324,-2.25,0,3,0,5,1,4,4,11
Wichita State,aac,108,-0.096774194,0,5,2,4,6,3,9,2
William & Mary,colonial,318,-1.451612903,0,3,0,3,3,6,8,8
Winthrop,big-south,254,-1.1,0,2,0,3,4,6,9,6
Wisconsin,big-ten,81,0.741935484,6,7,4,6,2,1,5,0
Wofford,southern,227,-0.9,1,1,0,3,4,7,9,5
Wright State,horizon,194,-0.903225806,0,0,0,2,4,8,12,5
Wyoming,mwc,172,-1,1,7,1,8,2,6,4,1
Xavier,big-east,25,1.46875,7,5,5,2,4,1,8,0
Yale,ivy,65,0.52,0,2,2,2,8,1,8,2
Youngstown State,horizon,124,-0.096774194,0,0,0,0,4,7,18,2
